1 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
2 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
3 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
4 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
5 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
6 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
7 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
8 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
9 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
10 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
11 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
12 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
13 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
14 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
15 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
16 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
17 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
18 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
19 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
20 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
21 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
22 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
23 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
24 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
25 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
26 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
27 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
28 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
29 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
30 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
31 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
32 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
33 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
34 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
35 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
36 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
37 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
38 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
39 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
40 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
41 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
42 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
43 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
44 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
45 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
46 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
47 1 5.5e-10 5.5e-10 0. 0.002 0.002 0.0002 0.0002  
